SourceCompnayName,TargetCompanyName,CommunicationType
Manx Telecomm,Dade2,Wireless
Manx Telecomm,Caterham Cars,Wireless
Manx Telecomm,Liverpool Craft Beer,Wireless
Manx Telecomm,Galaxy 27,Wireless
Manx Telecomm,Inmarsat-3 F4,Wireless
Dade2,Yamal 300K,Wireless
Dade2,Caterham Cars,Wireless
Dade2,Scotland Yard,Wireless
Dade2,Oslo Plaza*,Wireless
Dade2,British Telecomm,Wireless
Caterham Cars,Scotland Yard,Both
Caterham Cars,Liverpool Craft Beer,Both
Liverpool Craft Beer,Galaxy 27,Wireless
Liverpool Craft Beer,HLS,Both
Liverpool Craft Beer,Scotland Yard,Landline
Liverpool Craft Beer,Bank of England,Landline
Bank of England,HLS,Landline
Bank of England,Scotland Yard,Both
Bank of England,British Airways,Both
Bank of England,British Telecomm,Wireless
Scotland Yard,British Telecomm,Wireless
HLS,British Airways,Both
HLS,Galaxy 27,Wireless
HLS,HYLAS-2,Wireless
Galaxy 27,HYLAS-2,Wireless
Galaxy-27,Inmarsat-3 F4,Wireless
Inmarsat-3 F4,HYLAS-2,Wireless
Inmarsat-3 F4,Group PSA,Wireless
Inmarsat-3 F4,LVMH,Wireless
Inmarsat-3 F4,Banco de Sabadell,Wireless
Inmarsat-3 F4,Banco de Espana,Wireless
Inmarsat-3 F4,Maroc Telecom,Wireless
Inmarsat-3 F4,BMCI,Wireless
BMCI,Maroc Telecom,Wireless
BMCI,SATPEC,Both
Maroc Telecom,SATPEC,Wireless
Maroc Telecom,H3G,Wireless
Maroc Telecom,Vodaphone,Wireless
Maroc Telecom,Banco de Sabadell,Wireless
Banco de Espana,Banco de Sabadell,Both
Banco de Sabadell,LVMH,Both
Banco de Sabadell,GIMD,Both
Banco de Sabadell,Vodaphone,Wireless
Group PSA,LVMH,Both
Group PSA,DGSE,Landline
Group PSA,Paris Hilton*,Both
Group PSA,HYLAS-2,Wireless
HYLAS-2,British Airways,Wireless
HYLAS-2,British Telecomm,Wireless
HYLAS-2,Telfort,Wireless
HYLAS-2,Paris Hilton*,Wireless
Paris Hilton*,Telfort,Both
Paris Hilton*,DGSE,Landline
Paris Hilton*,BNP Paribas,Landline
DGSE,LVMH,Landline
DGSE,BNP Paribas,Landline
BNP Paribas,LVMH,Landline
BNP Paribas,GIMD,Landline
BNP Paribas,Telfort,Landline
BNP Paribas,DB,Landline
BNP Paribas,Siemens,Landline
GIMD,Astaldi SpA,Both
GIMD,Vodaphone,Wireless
GIMD,LVMH,Landline
Vodaphone,H3G,Wireless
Vodaphone,Astaldi SpA,Wireless
Vodaphone,Boscolo Exedra Roma*,Wireless
H3G,SATPEC,Wireless
H3G,Boscolo Exedra Roma*,Wireless
H3G,Telecom Italia,Wireless
H3G,MEASAT-3,Wireless
H3G,Mediobanca,Wireless
SATPEC,MEASAT-3,Wireless
Astaldi SpA,AMS AG,Landline
Astaldi SpA,DeLonghi,Landline
Astaldi SpA,Boscolo Exedra Roma*,Both
Boscolo Exedra Roma*,DeLonghi,Landline
Boscolo Exedra Roma*,Mediobanca,Both
Mediobanca,DeLonghi,Landline
Mediobanca,Ferrari,Landline
Mediobanca,Telecom Italia,Both
British Telecomm,Oslo Plaza*,Wireless
British Telecomm,SES,Wireless
British Telecomm,Dansmark NationalBank,Wireless
British Telecomm,TVSAT-2,Wireless
